date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10,7.1,12.7,0,,201,6.9,22.2,1027.3,
2022-01-02,8.5,5,12.4,0,,212,15.3,50,1020.5,
2022-01-03,10.3,9.5,11.3,5.4,,215,25.8,50,1016.6,
2022-01-04,9.6,6.7,11.4,18.4,,221,21.1,50,1001.3,
2022-01-05,4.9,2.8,7.2,5.2,,233,23.2,48.2,1009.5,
2022-01-06,2.5,0.6,4.4,0.4,,211,13,35.2,1020.2,
2022-01-07,1.4,0,3,1.3,,198,15.1,37,1018.6,
2022-01-08,3.4,1.8,4.6,4.2,,209,18.8,38.9,1011.7,
2022-01-09,4.6,2.5,6.3,6.7,,220,23.2,55.5,1003.2,
2022-01-10,2.1,0.5,3.7,0,,108,6.4,16.7,1021.4,
2022-01-11,0.8,-0.4,2.6,0,,47,7.8,24.1,1033.7,
2022-01-12,-0.2,-2.4,3.1,0,,59,6.4,20.4,1039.5,
2022-01-13,0.1,-2.3,3.6,0,,46,6.6,20.4,1041.7,
2022-01-14,0.7,-1.2,3.9,0,,118,4.8,13,1037.2,
2022-01-15,0.1,-2.2,3.2,0,,50,7.7,20.4,1029.9,
2022-01-16,0.4,-0.9,2.1,0,,212,15.4,37,1029.5,
2022-01-17,3.5,2.2,4.6,0.4,,221,19.5,38.9,1035.9,
2022-01-18,4.1,1.9,6.1,0.2,,86,8.9,25.9,1037.9,
2022-01-19,1.7,-1.3,4,0.5,,194,13.7,42.6,1029.5,
2022-01-20,2.9,0.7,4.6,1.5,,237,17.3,38.9,1028.4,
2022-01-21,1.1,-0.6,2.8,0.8,,221,11.4,29.6,1034.6,
2022-01-22,3.1,2,4.3,2.7,,212,16,37,1035.3,
2022-01-23,4,1.8,6.1,0,,93,7.4,22.2,1035.7,
2022-01-24,2.4,-0.1,6.3,0,,51,8.3,24.1,1034.5,
2022-01-25,0.4,-1,2.7,0,,111,4.5,13,1034.5,
2022-01-26,-0.3,-1.4,1.1,0,,200,8.9,22.2,1034.7,
2022-01-27,1,-0.5,3.1,0.6,,218,20.5,46.3,1031.6,
2022-01-28,3.9,2.7,5.6,0.2,,223,19.1,38.9,1035.5,
2022-01-29,4.8,3.3,6.7,0.5,,217,25,55.5,1032,
2022-01-30,5.4,1.6,7.7,1,,232,17.3,44.5,1030,
2022-01-31,3.7,1.2,5.5,4.4,,230,26.8,61.1,1016.2,
2022-02-01,3.6,2.6,5.2,5.1,,235,26.6,57.4,1020.8,
2022-02-02,6.8,4.8,8.7,3.9,,232,20.5,46.3,1020.8,
2022-02-03,8,6.5,9.9,2.2,,207,10.9,24.1,1020,
2022-02-04,7,5.7,8.5,1.9,,213,19.5,46.3,1016.2,
2022-02-05,4.8,2.7,7.3,0,,218,18.8,40.8,1024.2,
2022-02-06,5.6,4.3,7,9.3,,219,37.2,77.8,1015.6,
2022-02-07,5.2,2.5,7.4,5.9,,243,23.9,59.3,1022.8,
2022-02-08,5.1,2,7.9,0,,208,18.4,40.8,1032.9,
2022-02-09,7.4,4.6,12.2,0,,205,9.5,24.1,1029.4,
2022-02-10,5.1,1.9,8.2,0,,214,15,37,1024.3,
2022-02-11,4,1,6.4,1.4,,227,14.5,38.9,1030.3,
2022-02-12,1.4,-1.8,5.9,0,,87,7.2,22.2,1030.9,
2022-02-13,3.6,-1.6,10.3,0,,198,7.9,25.9,1019.4,
2022-02-14,6.5,2,10.9,0.4,,200,12.6,35.2,1008.8,
2022-02-15,7,5.4,8.7,1.5,,211,18.1,40.8,1014.9,
2022-02-16,8.3,5.5,11.4,5.1,,210,32.4,66.7,1009.1,
2022-02-17,12.2,10,13.4,1.7,,238,39,75.9,1010.4,
2022-02-18,10.9,8.6,14.3,1.8,,220,26.7,66.7,1010.1,
2022-02-19,7.1,4.8,9.3,0,,229,28.5,55.5,1018.4,
2022-02-20,7.5,4.7,9.9,1.4,,217,34.3,66.7,1016.4,
2022-02-21,7.6,6,10.2,4.6,,237,38.1,75.9,1008.7,
2022-02-22,7,5.1,9,1.4,,232,25.1,50,1021.7,
2022-02-23,8.6,5.2,12.7,0.6,,211,11,44.5,1026,
2022-02-24,7.2,3,11.6,2.2,,209,16.9,50,1017.7,
2022-02-25,4.6,2.4,6.7,1.9,,233,20.2,46.3,1026,
2022-02-26,3.4,0.3,7.4,0,,73,8.2,25.9,1034.1,
2022-02-27,3.8,-0.3,9.1,0,,57,12.8,38.9,1031.8,
2022-02-28,4,-1.4,10.3,0,,48,9.5,27.8,1031.6,
2022-03-01,3.3,-1.1,8.4,0,,46,9.3,25.9,1029.2,
2022-03-02,2.4,-1.9,7.5,0,,41,6.8,20.4,1024.2,
2022-03-03,3.4,-2,10,0,,42,7.7,24.1,1019.2,
2022-03-04,3.3,-1.5,9.1,0,,40,11.5,33.3,1020.1,
2022-03-05,2.8,-1.7,7.8,0,,48,10.4,33.3,1021.2,
2022-03-06,2.3,-2,6.5,0,,41,12.6,37,1022.8,
2022-03-07,1.7,-1.5,5.4,0,,47,14.3,38.9,1024.6,
2022-03-08,3.1,-2.6,9.9,0,,67,11.4,33.3,1022.7,
2022-03-09,4.1,-2.3,11.7,0,,49,6.5,20.4,1024.8,
2022-03-10,6.3,-1.1,14.6,0,,54,9.1,27.8,1024.2,
2022-03-11,7.1,1,14.2,0,,54,10.1,25.9,1019.1,
2022-03-12,8.8,4.4,14.2,0,,48,8.4,24.1,1019.4,
2022-03-13,8.5,2.4,14.9,0,,40,8.9,24.1,1016.7,
2022-03-14,9.8,6.8,14.3,1.7,,232,14.4,42.6,1026.8,
2022-03-15,7.5,4.8,10.6,6.2,,35,7.7,22.2,1026,
2022-03-16,10.8,6.7,16.7,0.2,,51,11.2,27.8,1023.6,
2022-03-17,8.7,7.1,10.5,2.6,,30,10,27.8,1027.4,
2022-03-18,9.4,6.4,13.5,0.1,,34,21.6,48.2,1037.3,
2022-03-19,8.3,4.8,12.3,0,,37,22.4,51.8,1035.8,
2022-03-20,9.7,4,16.4,0,,75,9.5,27.8,1028.7,
2022-03-21,10.5,3.8,17.5,0,,40,7.6,24.1,1031.8,
2022-03-22,9.3,2.4,16.5,0,,40,7,22.2,1031.9,
2022-03-23,10,2.1,18.5,0,,47,6.3,25.9,1030.6,
